Lesson,Frequency,Hebrew,English,POS,Category
5S,19,תִּמֹרָה,ornament of palm tree,Noun,
5T,18,אוֹן,"power, strength, wealth",Noun,
5T,18,אָחַר,"to delay, keep back",Verb,Action and Stative Verbs
5T,18,אָכְלָה,food,Noun,Food
5T,18,אָכֵן,(interj) truly! indeed!,Interjection,
5T,18,אֹרֵב,ambush,Noun,
5T,18,בִּירָה,citadel,Noun,Building and Travel
5T,18,גַּחֶלֶת,live coals,Noun,
5T,18,דָּכָא,(Ni part) oppressed; (Pi) crush,Verb,Action and Stative Verbs
5T,18,זְעָקָה,"cry, call for help",Noun,Personal Interactions
5T,18,זָרַח,"to go forth, shine",Verb,Movement Verbs
5T,18,חֵךְ,palate,Noun,
5T,18,חָסֵר,(one who) lacks,Noun,
5T,18,חָצִיר,grass,Noun,Plants and Animals
5T,18,חָשַׁךְ,be (grow) dark,Verb,Action and Stative Verbs
5T,18,יָבַל,(Hi) bring,Verb,Movement Verbs
5T,18,כַּד,jar,Noun,Food
5T,18,כָּלָא,to restrain,Verb,Action and Stative Verbs
5T,18,כַּפְתּוֹר,knob,Noun,
5T,18,לוּן,"(Ni) murmur, grumble",Verb,Action and Stative Verbs
5T,18,לָעַג,to ridicule,Verb,Action and Stative Verbs
5T,18,מַטָּה,"(adv) below, beneath",Adverb,
5T,18,מָעוֹן,lair; dwelling,Noun,Building and Travel
5T,18,מְצוּדָה,"mountain, stronghold",Noun,Heavens and Earth
5T,18,מָקוֹר,"spring, source",Noun,Heavens and Earth
5T,18,מַקֵּל,"shoot, twig",Noun,
5T,18,מֶרְחָק,distance,Noun,
5T,18,נָבָל,(adj) foolish,Adjective,
5T,18,נָזַל,"to trickle, flow; (Qal part act) brooke, watercourse",Verb,Action and Stative Verbs
5T,18,נָטַף,to drip,Verb,Action and Stative Verbs
5T,18,סוּת,"(Hi) lead astray, seduce",Verb,Action and Stative Verbs
5T,18,סָרַר,to be stubborn,Verb,Action and Stative Verbs
5T,18,עָטָה,"to wrap, cover",Verb,Action and Stative Verbs
5T,18,עָלַל,"(Po) treat, deal with",Verb,Action and Stative Verbs
5T,18,עָצַם,be mighty; numerous,Verb,Action and Stative Verbs
5T,18,צְבִי,ornament; glory,Noun,Worship/Cultic
5T,18,צַלְמָוֶת,darkness,Noun,Heavens and Earth
5T,18,קִינָה,"dirge, lament",Noun,
5T,18,רָכַל,"(Qal part) trader, merchant",Verb,Action and Stative Verbs
5T,18,שָׂכִיר,"(adj) rented, hired; (n) hired laborer, mercenary",Adjective,
5T,18,שָׁחַח,"to stoop, crouch",Verb,Action and Stative Verbs
5T,18,שָׁקַד,"be awake, watch",Verb,Action and Stative Verbs
5T,18,תַּחֲנוּן,supplication,Noun,
5T,18,תָּכַן,to examine,Verb,Action and Stative Verbs
5U,17,אֶזְרָח,"native, citizen",Noun,"People, Law, and Covenant"
5U,17,אֵימָה,"terror, dread",Noun,
5U,17,"אָסִיר , אסִּיר",prisoner,Noun,
5U,17,בָּאַשׁ,to stink,Verb,Action and Stative Verbs
5U,17,בִּכּוּרִים,first fruits,Noun,Measurement and Numbers
5U,17,בְּרֵכָה,"pond, pool",Noun,Heavens and Earth
5U,17,גֹּבָהּ,height,Noun,Measurement and Numbers
5U,17,"גְּבִיר , גְּבִירָה","(s m) lord, master; (f) lady, mistress",Noun,Worship/Cultic
5U,17,גַּּנָב,thief,Noun,
5U,17,דָּמָה,"come to rest, end; (Ni ext?) be silent, destroyed",Verb,Movement Verbs
5U,17,דָּרוֹם,south; south wind,Noun,Heavens and Earth
5U,17,חֹזֶה,vision,Noun,
5U,17,חִידָה,riddle,Noun,
5U,17,חֹמֶר,"mortar, cement; clay",Noun,Heavens and Earth
5U,17,חָפֵר,(stat) be ashamed,Verb,Action and Stative Verbs
5U,17,חָפְשִׁי,"(adj) freed, free",Adjective,"People, Law, and Covenant"
5U,17,חֶרֶשׂ,"clay, pottery",Noun,Heavens and Earth
5U,17,יוֹצֵר,"potter, founder",Noun,
5U,17,יְקָר,"preciousness; honoring, esteeming",Noun,
5U,17,כֵּן,"stand, base; place (IV?); (ext) position (V?)",Noun,
5U,17,כְּתָב,(n) document; register,Noun,
5U,17,כָּתַת,"to beat fine, pound up",Verb,Action and Stative Verbs
5U,17,מוּג,"reel, melt",Noun,
5U,17,מָטַר,(Ni) be rained on; (Hi) have (make) rain fall,Verb,Action and Stative Verbs
5U,17,מָכוֹן,"place, support",Noun,
5U,17,מֶמְשָׁלָה,dominion,Noun,
5U,17,מִסְגֶּרֶת,dungeon,Noun,Building and Travel
5U,17,מִשְׂגָּב,"high spot, refuge",Noun,
5U,17,מָשׂוֹשׂ,joy,Noun,
5U,17,מָשַׁל,to make up (say) a (mocking-) verse,Verb,Action and Stative Verbs
5U,17,"מִשְׁעָן , מַשְׁעֵן , מַשְׁעֵנָה , מִשְׁעֶנֶת",(m; f) support,Noun,
5U,17,מַתָּנָה,"gift, present",Noun,
5U,17,נָדַב,"urge on, prompt; (Hithp) volunteer",Noun,
