Lesson,Frequency,Hebrew,English,POS,Category
5W,15,רְמִיָּה,slackness (I?); deceit (II?),Noun,
5W,15,שִׁבֹּלֶת,"ear (of grain), bunch of twigs",Noun,Plants and Animals
5W,15,שׁוּר,"to gaze on, regard",Verb,Action and Stative Verbs
5W,15,שָׁעָה,"to look, gaze",Verb,Action and Stative Verbs
5W,15,שֶׁרֶץ,"(coll) swarming things, swarm",Noun,Plants and Animals
5W,15,תֹּאַר,"form, shape",Noun,
5W,15,תָּם,"(adj) complete, right, peaceful",Adjective,
5W,15,תַּנּוּר,"oven, furnace",Noun,Building and Travel
5W,15,"תַּנִּין , תַּנִּים",sea monster,Noun,Heavens and Earth
5W,15,תְּרָפִים,"idols, household gods",Noun,Worship/Cultic
5X,14,אֵזוֹר,"waistcloth, loincloth",Noun,Clothing
5X,14,אֵיתָן,"(adj, n) perennial; (met) constant",Adjective,Time and Seasons
5X,14,אָנַף,to be angry,Verb,Action and Stative Verbs
5X,14,בּוּז,"to show contempt for, despise",Verb,Action and Stative Verbs
5X,14,בַּר,grain,Noun,Plants and Animals
5X,14,בָּרִיא,fat,Noun,Food
5X,14,גְּאֻלָּה,right (duty) of redemption,Noun,
5X,14,גָּבִיעַ,"(drinking) bowl, cup",Noun,Food
5X,14,גָּעַר,(v) to reproach,Verb,Action and Stative Verbs
5X,14,דֶּגֶל,banner,Noun,Lands and Warfare
5X,14,דַּק,"(adj) scanty, fine",Adjective,
5X,14,דֶּשֶׁא,grass,Noun,Plants and Animals
5X,14,הָמַם,"to confuse, disturb",Verb,Action and Stative Verbs
5X,14,זוּ,(dem and rel pr; common) this,Pronoun,
5X,14,חוֹתָם,(n) seal,Noun,
5X,14,חָכָה,to await,Verb,Action and Stative Verbs
5X,14,חַלָּה,(ring-shaped) bread,Adjective,Food
5X,14,טוּל,(Hi) to throw,Verb,Movement Verbs
5X,14,יַבָּשָׁה,dry land,Noun,Heavens and Earth
5X,14,יָגוֹן,"tormet, grief",Noun,
5X,14,יְרֻשָּׁה,property,Noun,Building and Travel
5X,14,כָּבֵד,liver; (liver-) divination (extispicy),Noun,Worship/Cultic
5X,14,כְּהֻנָּה,priesthood,Noun,Worship/Cultic
5X,14,כָּרָה,"to excavate, dig",Verb,Action and Stative Verbs
5X,14,כַּרְמֶל,orchard,Noun,Food
5X,14,לָוָה,to borrow; (Hi) lend to,Verb,Action and Stative Verbs
5X,14,לַפִּיד,torch; (ext) lightning,Noun,Heavens and Earth
5X,14,מָחַץ,"to dash, beat to pieces",Verb,Action and Stative Verbs
5X,14,מִכְשׁוֹל,"offense, obstacle",Noun,
5X,14,מָן,manna,Noun,Food
5X,14,מַעֲרָב,"sunset, west",Noun,Heavens and Earth
5X,14,"מְצִלָּה , מְצִלְתַּיִם",(pl) bell; (du) cymbals,Noun,
5X,14,מָרַט,to pluck (hair),Verb,Action and Stative Verbs
5X,14,מַשְׂכִּיל,(type of) psalm,Noun,
5X,14,נְגִינָה,string music,Noun,
5X,14,נֶתֶק,a skin disease,Noun,Humans and Anatomy
5X,14,סָתַם,"to plug up, stop up",Verb,Action and Stative Verbs
5X,14,עֶגְלָה,heifer,Noun,Plants and Animals
5X,14,עֲדִי,(s and coll) ornament(s),Noun,Clothing
5X,14,עָכַר,to (make) trouble; make (someone) taboo?,Verb,Action and Stative Verbs
5X,14,עָצֵל,"(adj) slow, sluggish",Adjective,
5X,14,עָקֵב,heel,Noun,Humans and Anatomy
5X,14,עָרָה,(Ni) to be poured out; (Pi) empty out,Verb,Action and Stative Verbs
5X,14,פָּגַשׁ,to meet,Verb,Action and Stative Verbs
5X,14,פִּסֵּחַ,(adj) lame,Adjective,
5X,14,פְּעֻלָּה,"work, deeds; reward, wages",Noun,
5X,14,פֶּרֶד,mule,Noun,Plants and Animals
5X,14,פָּרַס,to break; (Ar - divide),Verb,Action and Stative Verbs
5X,14,פַּת,"bit, morsel; (Pita)",Noun,
5X,14,צָבָא,"to go to war, serve",Verb,Lands and Warfare
5X,14,צְבִי,gazelle (species),Noun,
5X,14,צַיִד,game; hunting,Noun,
5X,14,צַעַד,walking; (pl) steps,Noun,
5X,14,קְבוּרָה,"burial, grave",Noun,
5X,14,קֶמַח,flour,Noun,Food
5X,14,קָצָץ,"to cut off, trim",Verb,Action and Stative Verbs
5X,14,קֶשֶׁר,conspiracy,Noun,
5X,14,רָוַח,"to feel relieved; (Hi) smell, enjoy the smell of",Verb,Action and Stative Verbs
5X,14,"רֵיק , רֵק",(adj) empty,Adjective,
5X,14,רָעֵב,(stat) be hungry,Verb,Food
5X,14,שִׂיחַ,"(object of) concern, interest",Noun,
5X,14,שְׁאֵלָה,request,Noun,
5X,14,שָׁאַף,"to gasp, pant (for)",Verb,Action and Stative Verbs
5X,14,שָׁרַץ,"to swarm, teem",Verb,Action and Stative Verbs
5X,14,תּוֹר,turtledove,Noun,Plants and Animals
5X,14,תּוֹשָׁב,"sojourner, alien",Noun,Occupation
5X,14,תַּחַשׁ,porpoise? dolphin?,Noun,Plants and Animals
5X,14,תַּן,(pl) jackal,Noun,Plants and Animals
5Y,13,אָנָּא,(imprec) please! I pray!,Interjection,Worship/Cultic
5Y,13,אָרַג,to weave; (Qal part) weaver,Verb,Action and Stative Verbs
5Y,13,בָּחִיר,"(adj) chosen, elect",Adjective,
5Y,13,בַּת,bath (liquid measure),Noun,Measurement and Numbers
5Y,13,גֹּדֶל,greatness,Noun,
5Y,13,גַּדֵר,(stone) wall,Noun,Building and Travel
5Y,13,גְּוִיָּה,body,Noun,Humans and Anatomy
5Y,13,דָּקַק,to crush,Verb,Action and Stative Verbs
5Y,13,הַוָּה,(n) ruin,Noun,
5Y,13,הָלְאָה,"(adv) out there, onward",Adverb,
5Y,13,וָו,(pl) nail,Noun,Building and Travel
5Y,13,זֵד,(adj) arrogant,Adjective,
5Y,13,זוֹב,(mucous or blood) discharge,Noun,Humans and Anatomy
5Y,13,זָמַם,"to think, plan",Verb,Action and Stative Verbs
5Y,13,זְנוּנִים,prostitution,Noun,
5Y,13,חָבַק,to embrace,Verb,Action and Stative Verbs
5Y,13,חָזֶה,chest (of animal),Noun,Plants and Animals
5Y,13,חַנּוּן,"(adj) gracious, friendly",Adjective,
5Y,13,חָנֵף,(adj) godless,Adjective,
5Y,13,חֹר,(pl) noble,Noun,
5Y,13,טָהֲרָה,(cultic) property,Noun,Worship/Cultic
5Y,13,טִיט,"wet clay, mud",Noun,Heavens and Earth
5Y,13,טַעַם,(n) taste,Noun,Humans and Anatomy
5Y,13,יְבוּל,(n) produce,Noun,Food
5Y,13,יָלִיד,son; one born a slave,Noun,Family and Tribe
5Y,13,יְשִׁימוֹן,"desert, wilderness",Noun,Heavens and Earth
5Y,13,כֹּפֶר,bribe,Noun,
5Y,13,"לוּלֵא , לוּלֵי",(conj) if not; if; if only,Conjunction,
5Y,13,לֻלָאֹת,loops,Noun,
5Y,13,מַבּוּל,flood,Noun,Heavens and Earth
5Y,13,מוֹסָד,"foundation (-wall), base",Noun,Building and Travel
5Y,13,מַחְמָד,(something) desirable,Noun,
5Y,13,מַחְסוֹר,"(n) want, need",Noun,
5Y,13,מָנָה,"portion, part, share",Noun,Measurement and Numbers
5Y,13,מַעְגָּל,"track, rut",Noun,Building and Travel
5Y,13,מֵצַח,forehead,Noun,Humans and Anatomy
5Y,13,מִרְעֶה,pasture,Noun,Plants and Animals
5Y,13,מַרְפֵּא,healing,Noun,Humans and Anatomy
5Y,13,נְבָלָה,stupidity,Noun,
5Y,13,נָעִים,"(adj) pleasant, lovely",Adjective,
5Y,13,עָטַף,"to grow weak, faint",Verb,Action and Stative Verbs
5Y,13,פָּאַר,(Pi) glorify,Verb,Action and Stative Verbs
5Y,13,פֶּלֶא,(n) marvel,Noun,
5Y,13,פְּנִימָה,"(adv) into, inside",Adverb,
5Y,13,פָּקִיד,officer,Noun,Occupation
5Y,13,צָחַק,"to laugh; (Pi) joke, play",Verb,Personal Interactions
5Y,13,צְפַרְדֵּעַ,(coll) frogs,Noun,Plants and Animals
5Y,13,קָבַב,to curse,Verb,Worship/Cultic
5Y,13,קָבַל,"(Pi) accept, receive",Verb,Action and Stative Verbs
5Y,13,"קָו , קַו",(measuring-) cord,Noun,Measurement and Numbers
5Y,13,קַל,"(adj) light, quick",Adjective,
5Y,13,קֵן,nest; (pl) compartments,Noun,
5Y,13,רָגַע,"(intrans) crust over, come to rest",Verb,Movement Verbs
5Y,13,רַחוּם,(adj) compassionate,Adjective,
5Y,13,שְׂרֵפָה,"(place of) burning, conflagration",Noun,
5Y,13,שׁוֹאָה,"(trad) ruin, storm; (better translation) pit",Noun,Heavens and Earth
5Y,13,שׁוּט,"to roam about, rove",Verb,Movement Verbs
5Y,13,שְׁחִין,"boil, ulcer",Noun,Food
5Y,13,שָׁחַר,to be intent on; (Pi) seek,Verb,Action and Stative Verbs
5Y,13,שִׁכּוֹר,(adj) drunk(en),Adjective,
5Y,13,שָׁלַל,"(v) to plunder, spoil",Verb,Lands and Warfare
5Y,13,תָּא,guardroom,Noun,
5Y,13,תַּעַר,"razor, knife",Noun,
5Z,12,אַדֶּרֶת,splendor; robe,Noun,Clothing
5Z,12,אַיִן,(interr) (from) where?,Particle,
5Z,12,אָנַח,"(Ni) sigh, groan",Verb,Action and Stative Verbs
5Z,12,אֹפֶה,baker,Noun,Occupation
5Z,12,בַּהֶרֶת,white patch of skin,Noun,Humans and Anatomy
5Z,12,בּוּז,contempt,Noun,
5Z,12,בּוּס,to trample down,Verb,Action and Stative Verbs
5Z,12,בִּי,"(formula to open conversation with superiors) lit. ""on me""",Interjection,
5Z,12,גַּב,"something arched; torus, boss",Noun,Building and Travel
5Z,12,גְּדוּלָה,greatness,Noun,
5Z,12,גּוּר,to be afraid (of),Verb,Action and Stative Verbs
5Z,12,גָּזַר,to cut; decide,Verb,Action and Stative Verbs
5Z,12,גֻּלְגֹּלֶת,skull,Noun,Humans and Anatomy
5Z,12,דֹּב,(n; c) bear,Noun,Plants and Animals
5Z,12,זָעַם,"(v) curse, scold",Verb,Action and Stative Verbs
5Z,12,חָבֵר,(m) companion,Noun,Personal Interactions
5Z,12,חַיָּה,"life; greed, appetite",Noun,Humans and Anatomy
5Z,12,חֲלִיפָה,"change, relief",Noun,
5Z,12,חָלָק,(adj) smooth,Adjective,
5Z,12,חֹמֶר,homer (dry measure),Noun,Measurement and Numbers
5Z,12,חָפָה,"(v) cover, veil",Verb,Clothing
5Z,12,חָפֵץ,having pleasure in; willing,Noun,
5Z,12,חֵקֶר,searching,Noun,
5Z,12,חשֵׁב,"weaver, technician",Noun,Occupation
5Z,12,טֶבַח,slaughtering,Noun,
5Z,12,טוּחַ,"(v) plaster, overlay",Verb,Action and Stative Verbs
5Z,12,יוֹנֵק,suckling; infant,Noun,Humans and Anatomy
5Z,12,יָחִיד,(adj) only,Adjective,
5Z,12,יֶרַח,(lunar) month,Noun,Time and Seasons
5Z,12,"כַּמָּה , כַּמֶּה",(interr pr) how much? how many?,Pronoun,
5Z,12,כַּר,ram; battering-ram,Noun,Plants and Animals
5Z,12,לְבֵנָה,brick; paving-stone,Noun,Building and Travel
5Z,12,לַהַב,flame,Noun,Heavens and Earth
5Z,12,לָוָה,"accompany; (Ni) be joined, join",Noun,
5Z,12,לַחַץ,"oppression, affliction",Noun,
5Z,12,מִבְחָר,"(the) choicest, best",Noun,
5Z,12,מֶגֶד,yield of fruit; (f pl) precious gifts,Noun,Food
5Z,12,מַד,"clothing, garment",Noun,Clothing
5Z,12,מְהוּמָה,"confusion, panic",Noun,
5Z,12,מוֹטָה,"yoke, collar; carrying poles (?)",Noun,
5Z,12,מוֹסֵר,"fetter(s), chain(s)",Noun,
5Z,12,מוֹרָא,"fear, terror",Noun,
5Z,12,מַסַּע,"breaking (camp), departure",Noun,
5Z,12,מְצוֹלָה,"deep, depths",Noun,Heavens and Earth
5Z,12,מִצְנֶפֶת,"headband, turban",Noun,Clothing
5Z,12,מִקְצוֹצַ,corner,Noun,
5Z,12,מֹר,myrrh,Noun,
5Z,12,מַרְאָה,vision,Noun,
5Z,12,מְשׁוּבָה,defection,Noun,
5Z,12,מָתוֹק,sweet,Adjective,
5Z,12,נָזַר,to dedicate oneself (to a deity),Verb,Action and Stative Verbs
5Z,12,נָפַח,(v) to blow,Verb,Action and Stative Verbs
5Z,12,נְצִיב,pillar; garrison,Noun,Building and Travel
5Z,12,נָשַׁךְ,to bite,Verb,Action and Stative Verbs
5Z,12,נֶשֶׁךְ,interest (on debt),Noun,
5Z,12,נֶשֶׁף,"twilight, darkness",Noun,Time and Seasons
5Z,12,נֵתַח,piece (of meat),Noun,Food
5Z,12,סָעַד,"to support, sustain",Verb,Action and Stative Verbs
5Z,12,עָוַת,"to pervert; (Pi) make crooked, falsify (עות?)",Verb,Action and Stative Verbs
5Z,12,עָמִית,"fellow, comrade",Noun,Occupation
5Z,12,עָקָר,(adj) barren,Adjective,
5Z,12,עֹרֵב,raven,Noun,Plants and Animals
5Z,12,"פֶּטֶר , פִּטְרָה",firstborn,Noun,Family and Tribe
5Z,12,צֶמַח,"(coll) growth, what sprouts",Noun,
5Z,12,קָדְקֹד,crown of head,Noun,Humans and Anatomy
5Z,12,קוֹץ,thorn bush,Noun,Plants and Animals
5Z,12,קָצִין,leader,Noun,Occupation
5Z,12,רֹאֶה,seer; (seeing) visions,Noun,Occupation
5Z,12,רֹאשׁ,poisonous plant; (ext) poison,Noun,Plants and Animals
5Z,12,רָבַע,(denominative; Qal part pass) squared,Verb,Action and Stative Verbs
5Z,12,רַגְלִי,foot soldier,Noun,Lands and Warfare
5Z,12,רִיק,"(n) emptiness; (adj) empty, worthless",Noun,
5Z,12,רִקְמָה,fabric (of varied colors),Noun,Clothing
5Z,12,שָׁסָה,(v) to plunder; (Qal part) plunderer,Verb,Lands and Warfare
5Z,12,שָׁרַק,(v) to whistle,Verb,Action and Stative Verbs
5Z,12,תּוּשִׁיָּה,success,Noun,
5Z,12,תִּיכוֹן,(adj) the middle,Adjective,
5Z,12,תָּמָר,date palm,Noun,Plants and Animals
5AA,11,אֲבָל,"(interj) truly; (advs conj) but, however",Interjection,
5AA,11,אֲנָחָה,"(n) sigh, groan",Noun,Humans and Anatomy
5AA,11,אִסָּר,vow of abstinence,Noun,"People, Law, and Covenant"
5AA,11,אָרַשׂ,"(Pi, Pu) become engaged",Verb,Action and Stative Verbs
5AA,11,אֶתְנַן,gift,Noun,
5AA,11,בָּדָד,solitude; (adv) alone,Noun,
5AA,11,גָּאַל,(Ni) become polluted,Verb,Action and Stative Verbs
5AA,11,גָּזִית,"hewn stone, ashlar",Noun,Metals and Stone
5AA,11,גֵּרָה,cud,Noun,
5AA,11,דָּקַר,to pierce,Verb,Action and Stative Verbs
5AA,11,דָּשֵׁן,(stat) become fat,Verb,Action and Stative Verbs
5AA,11,הָדַף,to shove,Verb,Action and Stative Verbs
5AA,11,הֲלֹם,(adv) (to) here,Adverb,
5AA,11,זָדוֹן,arrogance,Noun,
5AA,11,זַךְ,(adj) pure,Adjective,
5AA,11,זָנָב,tail; (met) end,Noun,Humans and Anatomy
5AA,11,חוֹחַ,"thorn bush, thorn",Noun,Plants and Animals
5AA,11,חָמוֹת,mother-in-law,Noun,Family and Tribe
5AA,11,חָמֵץ,something leavened,Noun,
5AA,11,חָנַף,"to be godless, defiled",Verb,Action and Stative Verbs
5AA,11,חַרְטֹם,soothsayer-priest,Noun,Worship/Cultic
5AA,11,חָשַׁק,(v) to love,Verb,Action and Stative Verbs
5AA,11,טָבַח,(v) to slaughter,Verb,Action and Stative Verbs
5AA,11,טָעַם,"to taste, eat",Verb,Food
5AA,11,יִדְּעֹנִי,spirit of the dead; soothsayer,Noun,Worship/Cultic
5AA,11,יָקַץ,"(intrans) awake, wake up",Verb,Action and Stative Verbs
5AA,11,יָקַר,"to be difficult; be valued; be precious, rare",Verb,Action and Stative Verbs
5AA,11,יֹתֶרֶת,(extra) lobes of (animal) liver; (met) what is redundant,Adjective,Humans and Anatomy
5AA,11,כָּנַס,"to gather, collect",Verb,Movement Verbs
5AA,11,לָבִיא,(poetry) lioness,Noun,Plants and Animals
5AA,11,לָהַט,"to consume, burn (I?); (Pi) devour",Verb,Action and Stative Verbs
5AA,11,מָגוֹר,(pl) sojourning; alien citizenship,Noun,"People, Law, and Covenant"
5AA,11,מְחִתָּה,terror,Noun,
5AA,11,מְצָד,stronghold,Noun,Building and Travel
5AA,11,נֵבֶל,(storage-) jar,Noun,
5AA,11,נָבַע,(v) to bubble (brook),Verb,Action and Stative Verbs
5AA,11,נָעַר,to shake,Verb,Action and Stative Verbs
5AA,11,סֹלֲלָה,"siege mound, rampart",Noun,Lands and Warfare
5AA,11,סַפִּיר,lapis lazuli (intensely colored stone),Noun,Metals and Stone
5AA,11,עוֹלֵל,child,Noun,Family and Tribe
5AA,11,עָזַז,"to be strong, prevail",Verb,Action and Stative Verbs
5AA,11,עָמַל,"to labor, exert oneself",Verb,Action and Stative Verbs
5AA,11,עָנַן,"(Pi) to cause to appear, conjure up",Verb,Action and Stative Verbs
5AA,11,"עֲצָרָה , עֲצֶרֶת",festive assembly,Noun,"People, Law, and Covenant"
5AA,11,עִקֵּשׁ,(adj) perverted,Adjective,
5AA,11,עָרוּם,"(adj) subtle, crafty",Adjective,
5AA,11,פִּתּוּחַ,engraving,Noun,
5AA,11,פָּתִיל,"thread, cord",Noun,Clothing
5AA,11,צֶאֱצָא,(pl) offspring,Noun,
5AA,11,צוּק,"(Hi) to press hard, oppress",Verb,Action and Stative Verbs
5AA,11,קָדֵשׁ,(adj) consecrated; (n) cult prostitute,Adjective,
5AA,11,קֶסֶם,divination,Noun,Worship/Cultic
5AA,11,קָרֵב,(adj) approaching,Adjective,
5AA,11,קָרְחָה,baldness,Noun,
5AA,11,"רִבּוֹ , רִבּוֹא",countless; ten thousand,Noun,Measurement and Numbers
5AA,11,רָעַם,"(v) to storm, thunder",Verb,Action and Stative Verbs
5AA,11,רָקַע,to stamp; (Pi) hammer out,Verb,Action and Stative Verbs
5AA,11,שַׁאֲנָן,"(adj) at ease, tranquil",Adjective,
5AA,11,שַׁבָּתוֹן,sabbath feast,Noun,Worship/Cultic
5AA,11,שֹׁהַם,onyx? carnelian? lapis lazuli?,Noun,Metals and Stone
5AA,11,שׁוּל,(pl) flowing skirt; hem of skirt,Noun,
5AA,11,שַׁוְעָה,cry for help,Noun,Personal Interactions
5AA,11,שֶׁקֶץ,(cultic) abomination,Noun,Worship/Cultic
5AA,11,שָׁתַל,"to plant, transplant",Verb,Plants and Animals
5BB,10,אִגֶּרֶת,"(official, commercial) letter",Noun,
5BB,10,אֹדוֹת,(prep) on account of; (conj) because,Preposition,
5BB,10,אָדַם,to be red; (Pu part) dyed red,Verb,Action and Stative Verbs
5BB,10,אוּץ,to urge; be in a hurry; (Hi) urge,Verb,Action and Stative Verbs
5BB,10,אֵזוֹב,hyssop?,Noun,Plants and Animals
5BB,10,אֵל,(dem pr) these,Pronoun,
5BB,10,אֵלוֹן,"terebinth, tall tree",Noun,Plants and Animals
5BB,10,אֲפֵלָה,darkness,Noun,Heavens and Earth
5BB,10,בֶּדֶק,chink; leak (in ship),Noun,
5BB,10,בִּזָּה,plunder (act and objects of),Noun,Lands and Warfare
5BB,10,בְּכֹרָה,right of firstborn,Noun,Family and Tribe
5BB,10,בַּּלָהָה,sudden terror,Noun,
5BB,10,בְּמוֹ,"(prep) in, by",Preposition,
5BB,10,בְּתוּלִים,virginity; evidence of virginity,Noun,
5BB,10,גְּבוּלָה,"boundary, territory",Noun,Lands and Warfare
5BB,10,גָּדַר,to erect a wall,Verb,Action and Stative Verbs
5BB,10,"גָּלָל ,בִּגְלַל","on account of, for the sake of",Preposition,
5BB,10,גָּעַל,to abhor,Verb,Action and Stative Verbs
5BB,10,גָּעַשׁ,to shake,Verb,Action and Stative Verbs
5BB,10,"הַלָּז , הַלָּזֶה","(dem pr, m and f; m) this",Pronoun,
5BB,10,"הֶרֶג , הֲרֵגָה","(s m; f) killing, murder; slaughter",Noun,
5BB,10,זִיד,to treat insolently,Verb,Action and Stative Verbs
5BB,10,זֵר,molding,Noun,
5BB,10,חָבַל,to treat badly,Verb,Action and Stative Verbs
5BB,10,חָדַשׁ,"(Pi) to make new, restore",Verb,Action and Stative Verbs
5BB,10,חֲלָצַיִם,(du) loins,Noun,Humans and Anatomy
5BB,10,חֶמְאָה,curdled milk,Noun,Food
5BB,10,חָרֵב,"(adj) dry, waste",Adjective,
5BB,10,חָרַץ,(idiom) to threaten; settle determine,Verb,Action and Stative Verbs
5BB,10,טָבַע,to sink in,Verb,Movement Verbs
5BB,10,יִתְרוֹן,"outcome, profit",Noun,
5BB,10,כַּבִּיר,"strong, powerful",Noun,
5BB,10,כֶּלֶא,confinement; prison,Noun,
5BB,10,מִלּוֹא,terrace(?); (construction) fill(?),Noun,Building and Travel
5BB,10,מִמְכָּר,"selling, sale",Noun,
5BB,10,מִסְתָּר,hiding place,Noun,
5BB,10,מַצָּב,post (of duty),Noun,
5BB,10,מָקַק,(Ni) to rot,Verb,Action and Stative Verbs
5BB,10,מִקְרֶה,"happening, occurence",Noun,
5BB,10,מְרַאֲשׁוֹת,head place,Noun,
5BB,10,מַרְעִית,pasturage,Noun,
5BB,10,נָגַח,(v) to gore,Verb,Action and Stative Verbs
5BB,10,נָגַר,"(Ni) to flow, gush forth",Verb,Action and Stative Verbs
5BB,10,נָהַל,"(Pi) to lead, guide",Verb,Movement Verbs
5BB,10,נְחוּשָׁה,"copper, bronze",Noun,Metals and Stone
5BB,10,"נֵשֶׁק , נֶשֶׁק","armor, weaponry",Noun,Lands and Warfare
5BB,10,עֵירֹם,(adj) naked; (n) nakedness,Adjective,Humans and Anatomy
5BB,10,עָנַג,"(Pu part) pampered, spoiled; (Hith) pamper oneself",Verb,Action and Stative Verbs
5BB,10,עַפְעַפַּיִם,(du) eyelids (?); rays; flashing glance of the eye,Noun,Humans and Anatomy
5BB,10,עֲרֵמָה,heap,Noun,
5BB,10,עֶרֶשׂ,"bedstead, couch",Noun,Building and Travel
5BB,10,פָּזַר,"(Qal pass part) dispersed; (Pi) disperse, scatter",Verb,Movement Verbs
5BB,10,פַּחַת,pit,Noun,Heavens and Earth
5BB,10,פֶּלֶג,canal,Noun,Heavens and Earth
5BB,10,פֶּרֶא,"wild ass, onager (?), zebra (?)",Noun,Plants and Animals
5BB,10,פָּרַק,to tear away,Verb,Action and Stative Verbs
5BB,10,צָמֵא,(stat) be thirsty,Verb,Action and Stative Verbs
5BB,10,קַדְמֹנִי,(adj) eastern,Adjective,
5BB,10,קָמָה,standing grain,Noun,Plants and Animals
5BB,10,קֶרֶס,(pl) hook,Noun,
5BB,10,שָׂבֵעַ,"(adj) full, satisfied",Adjective,
5BB,10,שָׁמֵן,(adj) fat,Adjective,
5BB,10,שְׁפִי,"barrenness, baldness",Noun,
5BB,10,שְׁרִרוּת,"hardness, stubbornness",Noun,
5BB,10,תַּהְפּוּכָה,(pl) perversity,Noun,
5BB,10,תְּמוּנָה,"form, image",Noun,Humans and Anatomy
